,Nome do algoritmo,Tamanho entrada,Tipo array,atributo,Valor
0,quicksort,1000,Ordem crescente,Tempo de execução,0.22487999999998465
1,quicksort,1000,Ordem crescente,Número de comparações,499500.0
2,quicksort,1000,Ordem crescente,Número de escritas,0.0
3,quicksort,1000,Ordem crescente,Tamánho,1000.0
4,quicksort,1000,Ordem decrescente,Tempo de execução,0.1962710000000243
5,quicksort,1000,Ordem decrescente,Número de comparações,499500.0
6,quicksort,1000,Ordem decrescente,Número de escritas,0.0
7,quicksort,1000,Ordem decrescente,Tamánho,1000.0
8,quicksort,1000,Desordenado,Tempo de execução,0.004607000000021344
9,quicksort,1000,Desordenado,Número de comparações,10130.0
10,quicksort,1000,Desordenado,Número de escritas,0.0
11,quicksort,1000,Desordenado,Tamánho,1000.0
12,quicksort,2000,Ordem crescente,Tempo de execução,0.9080759999999941
13,quicksort,2000,Ordem crescente,Número de comparações,1999000.0
14,quicksort,2000,Ordem crescente,Número de escritas,0.0
15,quicksort,2000,Ordem crescente,Tamánho,2000.0
16,quicksort,2000,Ordem decrescente,Tempo de execução,0.7923170000000255
17,quicksort,2000,Ordem decrescente,Número de comparações,1999000.0
18,quicksort,2000,Ordem decrescente,Número de escritas,0.0
19,quicksort,2000,Ordem decrescente,Tamánho,2000.0
20,quicksort,2000,Desordenado,Tempo de execução,0.012792999999987842
21,quicksort,2000,Desordenado,Número de comparações,27089.0
22,quicksort,2000,Desordenado,Número de escritas,0.0
23,quicksort,2000,Desordenado,Tamánho,2000.0
24,quicksort,5000,Ordem crescente,Tempo de execução,5.801272999999981
25,quicksort,5000,Ordem crescente,Número de comparações,12497500.0
26,quicksort,5000,Ordem crescente,Número de escritas,0.0
27,quicksort,5000,Ordem crescente,Tamánho,5000.0
28,quicksort,5000,Ordem decrescente,Tempo de execução,4.99810100000002
29,quicksort,5000,Ordem decrescente,Número de comparações,12497500.0
30,quicksort,5000,Ordem decrescente,Número de escritas,0.0
31,quicksort,5000,Ordem decrescente,Tamánho,5000.0
32,quicksort,5000,Desordenado,Tempo de execução,0.03202600000003031
33,quicksort,5000,Desordenado,Número de comparações,71859.0
34,quicksort,5000,Desordenado,Número de escritas,0.0
35,quicksort,5000,Desordenado,Tamánho,5000.0
36,quicksort,10000,Ordem crescente,Tempo de execução,23.17035800000002
37,quicksort,10000,Ordem crescente,Número de comparações,49995000.0
38,quicksort,10000,Ordem crescente,Número de escritas,0.0
39,quicksort,10000,Ordem crescente,Tamánho,10000.0
40,quicksort,10000,Ordem decrescente,Tempo de execução,19.889481999999987
41,quicksort,10000,Ordem decrescente,Número de comparações,49995000.0
42,quicksort,10000,Ordem decrescente,Número de escritas,0.0
