,Nome do algoritmo,Tamanho entrada,Tipo array,atributo,Valor
0,quick sort,1000,Ordem crescente,Tempo de execução,0.25230829999964044
1,quick sort,1000,Ordem crescente,Número de comparações,249500.0
2,quick sort,1000,Ordem crescente,Número de escritas,0.0
3,quick sort,1000,Ordem crescente,Tamánho,1000.0
4,quick sort,1000,Ordem decrescente,Tempo de execução,0.20678029999999126
5,quick sort,1000,Ordem decrescente,Número de comparações,249500.0
6,quick sort,1000,Ordem decrescente,Número de escritas,0.0
7,quick sort,1000,Ordem decrescente,Tamánho,1000.0
8,quick sort,1000,Desordenado,Tempo de execução,0.0063923999996404746
9,quick sort,1000,Desordenado,Número de comparações,4935.0
10,quick sort,1000,Desordenado,Número de escritas,0.0
11,quick sort,1000,Desordenado,Tamánho,1000.0
12,quick sort,2000,Ordem crescente,Tempo de execução,1.0065377999999328
13,quick sort,2000,Ordem crescente,Número de comparações,999000.0
14,quick sort,2000,Ordem crescente,Número de escritas,0.0
15,quick sort,2000,Ordem crescente,Tamánho,2000.0
16,quick sort,2000,Ordem decrescente,Tempo de execução,0.8062413999996352
17,quick sort,2000,Ordem decrescente,Número de comparações,999000.0
18,quick sort,2000,Ordem decrescente,Número de escritas,0.0
19,quick sort,2000,Ordem decrescente,Tamánho,2000.0
20,quick sort,2000,Desordenado,Tempo de execução,0.01288750000003347
21,quick sort,2000,Desordenado,Número de comparações,11099.0
22,quick sort,2000,Desordenado,Número de escritas,0.0
23,quick sort,2000,Desordenado,Tamánho,2000.0
24,quick sort,5000,Ordem crescente,Tempo de execução,6.5387740999995
25,quick sort,5000,Ordem crescente,Número de comparações,6247500.0
26,quick sort,5000,Ordem crescente,Número de escritas,0.0
27,quick sort,5000,Ordem crescente,Tamánho,5000.0
28,quick sort,5000,Ordem decrescente,Tempo de execução,5.331753299999946
29,quick sort,5000,Ordem decrescente,Número de comparações,6247500.0
30,quick sort,5000,Ordem decrescente,Número de escritas,0.0
31,quick sort,5000,Ordem decrescente,Tamánho,5000.0
32,quick sort,5000,Desordenado,Tempo de execução,0.032230799999524606
33,quick sort,5000,Desordenado,Número de comparações,32061.0
34,quick sort,5000,Desordenado,Número de escritas,0.0
35,quick sort,5000,Desordenado,Tamánho,5000.0
36,quick sort,10000,Ordem crescente,Tempo de execução,25.835090300000047
37,quick sort,10000,Ordem crescente,Número de comparações,24995000.0
38,quick sort,10000,Ordem crescente,Número de escritas,0.0
39,quick sort,10000,Ordem crescente,Tamánho,10000.0
40,quick sort,10000,Ordem decrescente,Tempo de execução,21.43105999999989
41,quick sort,10000,Ordem decrescente,Número de comparações,24995000.0
42,quick sort,10000,Ordem decrescente,Número de escritas,0.0
43,quick sort,10000,Ordem decrescente,Tamánho,10000.0
44,quick sort,10000,Desordenado,Tempo de execução,0.09940090000054624
45,quick sort,10000,Desordenado,Número de comparações,71783.0
46,quick sort,10000,Desordenado,Número de escritas,0.0
47,quick sort,10000,Desordenado,Tamánho,10000.0
48,tree sort,1000,Ordem crescente,Tempo de execução,0.24389229999997042
49,tree sort,1000,Ordem crescente,Número de comparações,249500.0
50,tree sort,1000,Ordem crescente,Número de escritas,0.0
51,tree sort,1000,Ordem crescente,Tamánho,1000.0
52,tree sort,1000,Ordem crescente,time_to_insert,0.24289429999953427
53,tree sort,1000,Ordem crescente,time_to_inorder_travel,-0.0008957999998528976
54,tree sort,1000,Ordem decrescente,Tempo de execução,0.22834820000025502
55,tree sort,1000,Ordem decrescente,Número de comparações,249500.0
56,tree sort,1000,Ordem decrescente,Número de escritas,0.0
57,tree sort,1000,Ordem decrescente,Tamánho,1000.0
58,tree sort,1000,Ordem decrescente,time_to_insert,0.22788180000043212
59,tree sort,1000,Ordem decrescente,time_to_inorder_travel,-0.0003937999999834574
60,tree sort,1000,Desordenado,Tempo de execução,0.00832180000088556
61,tree sort,1000,Desordenado,Número de comparações,6054.0
62,tree sort,1000,Desordenado,Número de escritas,0.0
63,tree sort,1000,Desordenado,Tamánho,1000.0
64,tree sort,1000,Desordenado,time_to_insert,0.007804300000316289
65,tree sort,1000,Desordenado,time_to_inorder_travel,-0.00042889999986073235
66,tree sort,2000,Ordem crescente,Tempo de execução,0.9357592999995177
67,tree sort,2000,Ordem crescente,Número de comparações,999000.0
68,tree sort,2000,Ordem crescente,Número de escritas,0.0
69,tree sort,2000,Ordem crescente,Tamánho,2000.0
70,tree sort,2000,Ordem crescente,time_to_insert,0.9344287000003533
71,tree sort,2000,Ordem crescente,time_to_inorder_travel,-0.0012189999997644918
72,tree sort,2000,Ordem decrescente,Tempo de execução,0.9564840000002732
73,tree sort,2000,Ordem decrescente,Número de comparações,999000.0
